customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
cust_10076,Female,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.22,907.23,No
cust_10077,Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.36,2348.51,No
cust_10078,Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.92,1207.65,No
cust_10079,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,103.78,2105.99,No
cust_10080,Male,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),93.65,3765.72,No
cust_10081,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.32,1797.45,Yes
cust_10082,Male,1,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),98.71,1965.22,No
cust_10083,Female,0,Yes,No,27,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.86,2207.1,No
cust_10084,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,100.89,6630.81,No
cust_10085,Male,1,No,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,77.78,5376.85,No
cust_10086,Female,0,No,No,13,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,74.72,980.11,No
cust_10087,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),91.94,6684.34,Yes
cust_10088,Female,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.96,2030.39,No
cust_10089,Female,0,No,No,42,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),57.24,2377.96,No
cust_10090,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,101.93,7195.85,No
cust_10091,Female,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,37.92,676.12,No
cust_10092,Female,1,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.35,2166.5,No
cust_10093,Female,1,Yes,Yes,17,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),80.56,1355.09,No
cust_10094,Female,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),82.79,1010.66,Yes
cust_10095,Female,0,Yes,No,0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,79.06,0.0,No
cust_10096,Female,0,Yes,No,33,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,79.31,2595.15,No
cust_10097,Female,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.09,437.4,Yes
cust_10098,Female,1,Yes,No,50,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,81.13,3952.75,No
cust_10099,Male,0,Yes,No,0,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,78.04,0.0,Yes
cust_10100,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),104.8,2855.74,No
cust_10101,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,64.43,2035.66,No
cust_10102,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,103.12,7373.54,No
cust_10103,Female,0,No,No,54,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.65,4319.06,No
cust_10104,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,82.11,2028.56,No
cust_10105,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,89.19,1148.17,No
cust_10106,Female,0,No,No,67,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,46.16,3079.83,Yes
cust_10107,Female,0,No,No,62,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,70.72,4266.86,No
cust_10108,Female,0,No,Yes,13,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,63.05,828.02,No
cust_10109,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),100.5,2577.03,No
cust_10110,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,99.76,3985.63,No
cust_10111,Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),105.23,204.9,No
cust_10112,Female,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.7,1332.17,No
cust_10113,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),90.38,1994.07,No
cust_10114,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.08,628.27,No
cust_10115,Female,1,No,No,40,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),66.01,2592.44,No
cust_10116,Male,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.02,187.14,No
cust_10117,Female,0,No,No,31,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,107.22,3404.76,No
cust_10118,Female,1,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,109.81,4338.57,No
cust_10119,Male,0,Yes,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.39,1008.69,Yes
cust_10120,Female,0,Yes,No,8,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),99.69,787.57,No
cust_10121,Male,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.95,1533.41,No
cust_10122,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),118.96,2803.23,Yes
cust_10123,Male,0,No,Yes,43,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),105.11,4597.73,No
cust_10124,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),116.81,6634.67,Yes
cust_10125,Female,0,No,No,65,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,71.53,4541.68,Yes
cust_10126,Female,0,No,Yes,17,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,91.2,1546.98,Yes
cust_10127,Male,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.24,978.52,No
cust_10128,Female,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.19,35.38,No
cust_10129,Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),111.27,7253.13,No
cust_10130,Female,0,No,Yes,38,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,96.88,3661.22,No
cust_10131,Male,0,No,Yes,72,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),100.86,7349.02,No
cust_10132,Male,0,Yes,Yes,40,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,58.32,2386.18,No
cust_10133,Male,0,No,No,70,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64.2,4622.61,No
cust_10134,Male,0,Yes,No,21,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),50.72,1086.64,No
cust_10135,Male,0,Yes,No,48,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,85.38,4189.62,No
cust_10136,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.66,787.13,No
cust_10137,Male,0,Yes,No,15,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),65.63,1005.71,No
cust_10138,Male,0,No,No,67,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),53.92,3705.06,No
cust_10139,Male,0,No,No,61,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,64.44,3962.49,No
cust_10140,Female,0,No,No,35,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),60.32,2109.61,No
cust_10141,Male,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,87.35,1868.62,No
cust_10142,Female,0,Yes,Yes,10,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),55.15,555.37,No
cust_10143,Female,1,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,71.22,2977.42,No
cust_10144,Female,1,No,Yes,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.31,1201.23,No
cust_10145,Male,1,Yes,No,72,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),71.0,5013.33,No
cust_10146,Male,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,38.22,1332.04,Yes
cust_10147,Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),88.58,5099.88,No
cust_10148,Male,0,No,No,33,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,65.05,2207.54,No
cust_10149,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.6,1967.56,No
cust_10150,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,122.35,8438.94,Yes
cust_10151,Male,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,53.51,161.77,No
cust_10152,Male,1,No,No,45,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,66.49,3060.4,No
cust_10153,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),106.63,1035.8,No
cust_10154,Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,105.58,6206.45,No
cust_10155,Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),116.37,3877.05,No
cust_10156,Male,0,Yes,No,68,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,67.5,4513.05,No
cust_10157,Female,0,No,No,56,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.42,4310.94,No
cust_10158,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.88,387.94,Yes
cust_10159,Female,0,No,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.47,343.91,No
cust_10160,Male,0,No,Yes,42,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),81.12,3484.48,No
cust_10161,Male,0,No,No,18,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,83.19,1475.69,No
cust_10162,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.05,2653.84,No
cust_10163,Female,1,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),110.98,6620.3,No
cust_10164,Female,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.66,21.86,Yes
cust_10165,Male,1,Yes,No,7,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.79,516.04,Yes
cust_10166,Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,96.59,1981.4,No
cust_10167,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.7,585.67,Yes
cust_10168,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),73.58,2043.03,No
cust_10169,Female,0,Yes,No,36,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,79.46,2844.09,No
cust_10170,Female,0,Yes,Yes,28,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,106.15,3040.84,No
cust_10171,Male,0,No,No,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,80.25,2924.63,No
cust_10172,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.49,1954.33,No
cust_10173,Female,0,Yes,Yes,11,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),65.54,728.41,No
cust_10174,Female,0,No,No,47,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,102.19,4841.25,Yes
cust_10175,Female,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.63,1617.36,No
